X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,Y
3,853,208,15,0,1000,0,NaN,2,0,484,18,2,168,3,13,18,0,19,1337,89,15,NaN,0,31,NaN,53,100,9,92,0,16,1704,8,0,0,6,34,NaN,5701,83,37,24,1,258,3,2,60100,NaN,24,0,3756,31,35,0,0,62,13,105026,90,0,16235,238,4355,168,238,34,78,4083,6,0,0,0
2,1637,84,22,10000000000,10000,0,3072000,4,14330,1581,15,2,107,NaN,11,15,6551,22,3218,31,13,10000000000,46,116,34571438,79,100,15,13,16041830,13,6860,11,10000000000,3280187,12,100,818176,11605,343,NaN,49,2,739,7,4,118000,1,8,20162042,9076,59,14,0,1668202666,47,18,193108,263,0,34883,766,1974,476,766,14,60,1252,6,34571438,8333504000,0
8,3120,1218,30,0,30000,0,NaN,0,25350,2544,4,0,154,5,NaN,4,25350,30,5692,91,NaN,NaN,NaN,4,NaN,NaN,30,14,NaN,0,10,2991,NaN,0,0,2,354,NaN,31182,311,45,47,4,483,6,0,171000,NaN,8,0,17100,52,128,0,0,55,23,369697,188,0,26718,135,-9054,293,135,203,64,231,6,0,0,0
6,1938,48,14,NaN,1000,0,NaN,0,32126,1649,9,3,174,4,5,2,NaN,17,3587,91,21,NaN,13,23,NaN,74,70,9,153,NaN,100,2062,14,NaN,NaN,0,67,NaN,21712,146,11,33,1,669,1,0,154000,6,33,NaN,1540,53,9,0,NaN,81,12,359840,281,0,54464,155,2038,388,155,9,100,317,5,NaN,NaN,1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
9,540,2100,13,0,3000,0,NaN,1,5306,380,11,3,133,3,10,10,5306,27,920,63,24,NaN,110,7,NaN,50,100,3,108,0,52,4880,1,0,0,2,23,NaN,26279,220,45,18,0,17,9,1,153000,1,17,0,2942,45,170,0,0,238,4,89978,6,0,4050,652,3211,11,652,350,97,3239,6,0,0,0
3,1018,38,13,NaN,10000,0,NaN,1,732,855,15,0,157,4,11,23,17740,18,2783,90,NaN,NaN,NaN,0,NaN,NaN,23,3,82,NaN,17,838,NaN,NaN,NaN,1,40,NaN,3435,97,63,38,0,69,5,1,121000,NaN,22,NaN,7117,63,NaN,0,NaN,59,9,185006,NaN,NaN,4123,232,0,NaN,232,9,66,41,5,NaN,NaN,0
NaN,2138,442,32,0,10000,0,NaN,6,0,2295,18,3,164,4,NaN,18,11940,33,4433,92,NaN,NaN,NaN,66,NaN,NaN,100,22,NaN,0,28,1797,NaN,0,0,12,160,NaN,21891,124,28,56,2,236,6,11,131000,NaN,8,0,4678,58,158,1,0,64,31,393120,85,0,15292,255,-6866,151,255,73,88,152,6,0,0,0
8,683,3466,NaN,0,20,NaN,NaN,NaN,14570,555,20,3,93,4,NaN,20,14570,NaN,1238,84,NaN,NaN,NaN,84,NaN,NaN,100,NaN,NaN,0,21,5979,NaN,0,0,NaN,102,NaN,15304,96,39,NaN,3,210,5,NaN,104000,NaN,NaN,0,4952,NaN,6,0,0,113,NaN,209120,66,0,23888,NaN,-1306,144,NaN,693,168,NaN,6,0,0,1
1,1508,64,8,NaN,10000,0,NaN,2,30000,955,6,0,181,5,16,6,30200,40,2464,90,NaN,NaN,NaN,52,NaN,100,15,6,320,NaN,25,887,NaN,NaN,NaN,5,67,NaN,30000,241,64,14,1,578,4,3,213600,NaN,15,NaN,8544,99,4,0,NaN,92,6,186157,282,0,53644,839,1293,295,839,10,75,783,5,NaN,NaN,0
2,482,784,3,0,2994,0,NaN,0,0,538,4,2,151,2,11,4,0,4,1020,90,15,NaN,16,0,NaN,64,100,2,89,0,26,2179,14,0,0,1,32,NaN,8353,66,36,3,1,3,7,0,47000,2,18,0,1807,5,15,1,0,261,3,231297,NaN,NaN,785,660,-912,NaN,659,130,226,531,6,0,0,0
1,1097,219,NaN,NaN,1000,NaN,NaN,NaN,0,1209,30,2,161,3,NaN,30,15731,NaN,2306,92,NaN,NaN,NaN,18,NaN,NaN,87,NaN,NaN,NaN,10,498,NaN,NaN,NaN,NaN,58,NaN,0,47,19,NaN,3,455,3,NaN,12000,NaN,NaN,NaN,1200,NaN,55,1,NaN,95,NaN,198491,254,1,43521,NaN,865,201,NaN,36,86,NaN,5,NaN,NaN,1
NaN,1785,32,8,0,5000,0,NaN,0,NaN,1754,6,1,162,NaN,NaN,6,8440,9,3539,91,NaN,NaN,NaN,30,NaN,NaN,100,7,NaN,0,19,3723,NaN,0,0,1,124,NaN,17510,102,84,12,3,182,5,0,91000,NaN,1,0,4789,13,1,0,0,79,7,259643,100,1,14528,685,-8223,82,685,5,73,434,6,0,0,1
2,482,40,3,NaN,5000,0,NaN,0,11900,249,16,2,163,2,15,18,8740,7,918,82,NaN,NaN,NaN,2,NaN,67,79,1,178,NaN,25,729,NaN,NaN,NaN,0,23,NaN,21464,86,50,5,0,106,4,0,117000,NaN,36,NaN,4680,11,16,0,NaN,47,2,78655,7,3,5012,298,4025,2,681,6,85,553,5,NaN,NaN,1
0,926,10,4,10000000000,5000,0,1024000,0,9900,356,15,0,138,NaN,3,15,1320,6,1282,77,NaN,10000000000,NaN,8,19880796,69,14,0,3,92160,51,745,NaN,1024000,59733,0,23,59392,9940,46,NaN,4,1,34,4,0,129000,NaN,35,8397136,2529,9,1,0,1024000,114,0,73428,2,0,3908,240,-2010,32,240,2,57,134,6,19880796,10000000000,0
2,1195,5,0,NaN,10000,0,NaN,0,19255,996,7,2,164,5,8,7,19130,0,2191,91,17,NaN,25,34,NaN,100,94,0,55,NaN,6,797,14,NaN,NaN,0,114,NaN,20119,123,105,0,2,300,2,0,83000,5,48,NaN,13833,0,1,0,NaN,53,0,130012,137,0,15954,138,1607,163,372,1,59,10,5,NaN,NaN,0
11,1846,113,7,0,NaN,0,NaN,0,7286,1019,11,2,179,3,11,11,7399,8,2865,92,11,NaN,35,71,NaN,63,100,3,214,0,0,4868,11,0,0,2,77,NaN,16480,204,94,14,2,431,4,0,NaN,NaN,19,0,NaN,19,10,0,0,40,3,107908,86,0,17357,594,-1043,345,594,18,37,2294,6,0,0,1
5,1211,86,7,0,2994,0,NaN,3,12409,1160,14,2,158,3,12,14,12409,16,2373,76,33,NaN,17,47,NaN,58,100,5,141,0,24,2615,19,0,0,5,46,NaN,13233,101,65,16,1,261,4,3,128200,2,2,0,5341,26,6,0,0,59,5,200524,80,0,15447,303,782,179,303,14,84,369,6,0,0,1
NaN,497,484,18,0,20,0,NaN,4,0,672,5,1,127,4,NaN,5,18450,21,1169,85,NaN,NaN,NaN,9,NaN,NaN,48,11,NaN,0,19,15177,NaN,0,0,8,30,NaN,16241,61,48,25,2,108,5,6,101000,NaN,47,0,5315,30,18,1,0,61,15,80361,66,1,6603,135,3970,42,135,80,68,200,6,0,0,1
10,1003,3104,0,0,10,0,NaN,0,17760,676,20,2,157,4,12,20,17760,9,1679,80,22,NaN,21,20,NaN,74,37,0,61,0,43,1487,22,0,0,0,81,NaN,17486,127,27,0,1,39,1,0,234500,0,17,0,5453,10,376,0,0,69,0,112832,13,0,2703,377,2259,26,377,517,67,1392,6,0,0,1
9,2063,199,11,NaN,1000,0,NaN,0,31665,2556,27,3,160,5,9,27,24600,16,4620,91,6,NaN,59,38,NaN,70,100,3,55,NaN,20,750,5,NaN,NaN,0,117,NaN,30817,135,56,19,4,236,3,0,173000,NaN,11,NaN,8650,31,9,1,NaN,85,5,383089,141,1,20170,688,-37158,95,695,33,82,1643,5,NaN,NaN,0
6,902,78,19,0,10,0,NaN,2,20061,153,16,3,156,4,10,16,20061,21,1055,87,66,NaN,2,23,NaN,72,97,14,238,0,39,14359,57,0,0,8,57,NaN,16411,366,72,28,3,492,1,2,92000,3,26,0,2358,31,27,0,0,40,18,58133,59,0,19820,332,-7951,433,332,13,55,284,6,0,0,0
5,1231,4114,4,0,4000,0,NaN,0,5863,948,9,0,164,3,12,9,5863,6,2179,91,NaN,NaN,NaN,49,NaN,38,26,0,152,0,37,0,NaN,0,0,0,90,NaN,14715,96,8,4,4,223,4,0,83000,NaN,26,0,2243,6,130,0,0,84,1,147462,90,0,18783,161,6633,133,633,587,67,98,6,0,0,0
4,584,2894,14,0,5000,0,NaN,6,14860,294,20,1,170,3,13,20,14860,15,878,88,6,NaN,30,1,NaN,79,41,8,50,0,23,200,4,0,0,7,56,NaN,12613,56,92,33,1,154,3,8,95000,NaN,48,0,4130,37,667,0,0,46,12,39729,37,0,7118,113,10797,117,113,482,45,50,6,0,0,0
11,367,5675,8,0,200,0,NaN,3,12125,193,11,3,135,3,14,9,12125,8,560,86,13,NaN,2,11,NaN,58,73,6,46,0,30,443,8,0,0,4,24,NaN,10934,56,65,13,1,123,1,3,69900,8,41,0,2330,15,1399,0,0,65,8,30486,37,0,8038,408,4528,86,408,945,54,481,6,0,0,0
7,624,18,2,NaN,0,0,NaN,0,7900,527,16,1,140,4,10,16,2200,4,1151,71,NaN,NaN,NaN,27,0,40,51,1,34,0,1,0,NaN,NaN,0,0,34,0,6756,50,87,6,0,57,4,0,0,NaN,36,0,0,11,1,0,NaN,56,1,85305,10,0,3234,299,60,47,299,4,74,258,5,0,NaN,0
3,1313,234,18,0,300,0,NaN,3,10700,1203,3,0,151,NaN,13,3,NaN,25,2516,88,NaN,NaN,NaN,68,NaN,NaN,47,11,117,0,20,5340,NaN,0,0,4,111,NaN,17443,114,112,35,2,368,6,4,93100,NaN,12,0,4655,50,83,0,0,81,16,222251,157,0,29852,443,2639,211,443,46,88,716,5,0,0,0
4,1026,7961,36,0,4990,0,NaN,16,12952,546,23,5,164,5,17,23,12952,47,1620,89,36,NaN,129,76,NaN,90,100,29,220,0,48,618,24,0,0,20,66,NaN,19443,149,56,94,1,168,6,17,89050,1,16,0,1855,133,775,0,0,54,32,145402,36,0,9146,861,488,130,861,1326,89,749,6,0,0,0
7,999,7664,23,0,20,0,NaN,1,20300,402,20,1,156,4,11,20,20300,25,1401,86,NaN,NaN,NaN,6,NaN,NaN,86,3,90,0,29,5131,NaN,0,0,2,87,NaN,48721,102,48,42,0,22,5,1,295200,NaN,17,0,10179,59,315,0,0,46,17,68108,12,1,1016,360,962,10,360,1277,48,144,6,0,0,1
2,730,45,2,0,10000,NaN,NaN,0,9960,360,15,2,151,3,12,15,0,2,1090,89,14,NaN,5,19,NaN,79,46,1,55,NaN,4,686,12,NaN,NaN,0,57,NaN,10228,83,9,2,1,40,2,0,45000,0,NaN,0,11250,2,NaN,0,NaN,55,2,75233,6,0,2205,57,9750,34,929,11,69,NaN,5,0,0,0
